pdb,chain,tstart,tend,status,type
5hga-assembly1,A,1,180,primary,pdb
1hhg-assembly1,A,1,180,primary,pdb
4jff-assembly1,A,1,180,primary,pdb
7n2r-assembly1,A,1,180,primary,pdb
8elg-assembly1,A,1,180,primary,pdb
5nmk-assembly1,A,1,180,primary,pdb
1mhe-assembly1,A,1,178,primary,pdb
6gh4-assembly1,A,1,179,primary,pdb
8rym-assembly1,A,1,180,primary,pdb
5d9s-assembly1,A,1,180,primary,pdb
7lg3-assembly1,A,1,180,primary,pdb
6mpp-assembly1,A,1,179,primary,pdb
3vxn-assembly1,A,1,180,primary,pdb
8rlt-assembly1,A,1,179,primary,pdb
8enh-assembly1,A,1,179,primary,pdb
7n1b-assembly1,A,1,180,primary,pdb
8rh6-assembly1,A,1,180,primary,pdb
7sa2-assembly1,A,1,180,primary,pdb
5im7-assembly1,A,1,180,primary,pdb
8rng-assembly1,A,1,180,primary,pdb
6d2b-assembly1,A,1,180,primary,pdb
7s8f-assembly1,A,1,180,primary,pdb
7kgp-assembly1,A,1,180,primary,pdb
1eey-assembly1,A,1,180,primary,pdb
2x4n-assembly1,A,1,180,primary,pdb
7n1e-assembly1,A,1,180,primary,pdb
5w1v-assembly1,A,1,178,primary,pdb
8rop-assembly1,A,1,180,primary,pdb
8rhq-assembly1,A,1,177,primary,pdb
7s79-assembly1,A,1,180,primary,pdb
6p2s-assembly1,A,1,179,primary,pdb
4f7t-assembly1,A,1,180,primary,pdb
5jhd-assembly1,A,1,180,primary,pdb
7wt4-assembly1,A,2,181,primary,pdb
1qvo-assembly1,A,1,180,primary,pdb
1qew-assembly1,A,1,180,primary,pdb
4o2c-assembly1,A,1,180,primary,pdb
2f53-assembly1,A,1,180,primary,pdb
7s7f-assembly1,A,1,179,primary,pdb
7kgq-assembly1,A,1,180,primary,pdb
3o3b-assembly1,A,1,180,primary,pdb
1s9x-assembly1,A,1,180,primary,pdb
2uwe-assembly1,A,1,180,primary,pdb
5hgd-assembly1,A,1,180,primary,pdb
6vb1-assembly1,A,1,180,primary,pdb
1lp9-assembly1,A,1,180,primary,pdb
8ryq-assembly1,A,1,180,primary,pdb
6tdq-assembly1,A,1,180,primary,pdb
7rzd-assembly1,A,1,180,primary,pdb
3rew-assembly1,A,1,180,primary,pdb
5isz-assembly1,A,1,180,primary,pdb
7wkj-assembly1,A,1,180,primary,pdb
6avf-assembly1,H,1,180,primary,pdb
5wjn-assembly1,A,1,180,primary,pdb
8ryp-assembly1,A,1,180,primary,pdb
8xfz-assembly1,A,1,180,primary,pdb
6gl1-assembly1,A,1,179,primary,pdb
6uzq-assembly1,A,1,180,primary,pdb
1qrn-assembly1,A,1,180,primary,pdb
6mt4-assembly1,A,1,180,primary,pdb
5eu3-assembly1,A,1,180,primary,pdb
5fdw-assembly1,A,1,180,primary,pdb
8e13-assembly1,A,1,179,primary,pdb
6tdr-assembly1,A,1,180,primary,pdb
6uzs-assembly1,A,1,180,primary,pdb
3fqx-assembly1,A,1,180,primary,pdb
6vm9-assembly1,A,1,180,primary,pdb
3ft4-assembly1,A,1,180,primary,pdb
6am5-assembly1,A,1,180,primary,pdb
8ryn-assembly1,A,1,180,primary,pdb
8roo-assembly1,A,1,180,primary,pdb
6pag-assembly1,A,1,179,primary,pdb
4no5-assembly1,A,1,180,primary,pdb
5hyj-assembly1,A,1,180,primary,pdb
5w69-assembly1,A,1,179,primary,pdb
6id4-assembly1,A,1,180,primary,pdb
7mkb-assembly1,A,1,180,primary,pdb
8eb2-assembly1,A,1,180,primary,pdb
7nmf-assembly1,A,1,180,primary,pdb
8dvg-assembly1,A,1,180,primary,pdb
8gon-assembly1,A,1,180,primary,pdb
7ow4-assembly1,A,1,180,primary,pdb
7p3d-assembly1,A,1,180,primary,pdb
7p3e-assembly1,A,1,180,primary,pdb
6joz-assembly1,A,1,180,primary,pdb
1hsb-assembly1,A,1,180,primary,pdb
3mgo-assembly1,A,1,180,primary,pdb
8rlu-assembly1,A,1,179,primary,pdb
6gh1-assembly1,C,1,179,primary,pdb
5v5l-assembly1,A,1,180,primary,pdb
4n8v-assembly1,A,1,180,primary,pdb
3h9h-assembly1,A,1,180,primary,pdb
6amt-assembly1,A,1,180,primary,pdb
1i7t-assembly1,A,1,180,primary,pdb
1hhi-assembly1,A,1,180,primary,pdb
7s8e-assembly1,A,1,180,primary,pdb
4jfe-assembly1,A,1,180,primary,pdb
7pb2-assembly1,A,1,179,primary,pdb
3nfn-assembly1,A,1,180,primary,pdb
5hgh-assembly1,A,1,180,primary,pdb
5t6y-assembly1,A,1,180,primary,pdb
5vue-assembly1,A,1,180,primary,pdb
7mj7-assembly1,A,1,180,primary,pdb
8i5c-assembly1,A,1,180,primary,pdb
7s7d-assembly1,A,1,180,primary,pdb
5wkf-assembly1,A,1,180,primary,pdb
4nqx-assembly1,A,1,180,primary,pdb
6j29-assembly1,A,1,180,primary,pdb
4prn-assembly1,A,1,180,primary,pdb
5hhm-assembly1,A,1,180,primary,pdb
3oxr-assembly1,A,1,180,primary,pdb
7mj9-assembly1,A,1,180,primary,pdb
6jtp-assembly1,A,1,179,primary,pdb
5vuf-assembly1,A,1,180,primary,pdb
5t6x-assembly1,A,1,180,primary,pdb
5c07-assembly1,A,1,180,primary,pdb
3gjf-assembly1,A,1,180,primary,pdb
7lgd-assembly1,A,1,180,primary,pdb
5brz-assembly1,A,1,180,primary,pdb
5c0c-assembly1,A,1,180,primary,pdb
8isn-assembly1,A,1,180,primary,pdb
3vfn-assembly1,A,1,180,primary,pdb
7kgt-assembly1,A,1,180,primary,pdb
3o4l-assembly1,A,1,180,primary,pdb
5w1w-assembly1,A,1,178,primary,pdb
2x70-assembly1,A,1,180,primary,pdb
6z9x-assembly1,A,1,180,primary,pdb
2bvo-assembly1,A,1,180,primary,pdb
3gso-assembly1,A,1,180,primary,pdb
6p64-assembly1,A,1,180,primary,pdb
6p2c-assembly1,A,1,179,primary,pdb
4xxc-assembly1,A,1,180,primary,pdb
7s8a-assembly1,A,1,179,primary,pdb
9bl6-assembly1,A,1,180,primary,pdb
6ssa-assembly1,A,1,180,primary,pdb
8tbw-assembly1,A,1,180,primary,pdb
3vfp-assembly1,A,1,180,primary,pdb
7ow5-assembly1,A,1,179,primary,pdb
2vll-assembly1,A,1,180,primary,pdb
7jyv-assembly1,A,1,180,primary,pdb
3mrb-assembly1,A,1,180,primary,pdb
5swq-assembly1,A,1,180,primary,pdb
8rbu-assembly1,A,1,180,primary,pdb
3pwl-assembly1,A,1,180,primary,pdb
3x13-assembly1,A,1,179,primary,pdb
2x4s-assembly1,A,1,180,primary,pdb
4g8g-assembly1,A,1,180,primary,pdb
3ixa-assembly1,A,1,180,primary,pdb
7pbc-assembly1,CCC,1,179,primary,pdb
6rp9-assembly1,A,1,180,primary,pdb
7wj3-assembly1,A,1,179,primary,pdb
7t5m-assembly1,A,1,180,primary,pdb
3vfu-assembly1,A,1,180,primary,pdb
6q3s-assembly1,A,1,180,primary,pdb
1a1n-assembly1,A,1,180,primary,pdb
5hho-assembly1,A,1,180,primary,pdb
4jqv-assembly1,A,1,180,primary,pdb
6uj8-assembly1,A,1,179,primary,pdb
8f5a-assembly1,A,1,180,primary,pdb
3ln4-assembly1,A,1,179,primary,pdb
4mnq-assembly1,A,1,180,primary,pdb
7r7x-assembly1,A,1,180,primary,pdb
6vb2-assembly1,A,1,180,primary,pdb
8xg2-assembly1,A,1,180,primary,pdb
6r2l-assembly1,A,1,180,primary,pdb
8sbk-assembly1,A,1,180,primary,pdb
4wuu-assembly1,A,1,180,primary,pdb
5e00-assembly1,A,1,180,primary,pdb
5fa4-assembly1,A,1,179,primary,pdb
8e8i-assembly1,A,1,179,primary,pdb
6mt6-assembly1,A,1,180,primary,pdb
3mrq-assembly1,A,1,180,primary,pdb
8tuh-assembly1,A,1,179,primary,pdb
1w72-assembly1,A,1,180,primary,pdb
6g3j-assembly1,A,1,180,primary,pdb
8shi-assembly1,A,1,179,primary,pdb
6o4z-assembly1,A,1,180,primary,pdb
2vlk-assembly1,A,1,180,primary,pdb
2p5e-assembly1,A,1,180,primary,pdb
4o2e-assembly1,A,1,180,primary,pdb
7lgt-assembly1,A,1,180,primary,pdb
6o4y-assembly1,A,1,180,primary,pdb
3pwn-assembly1,A,1,180,primary,pdb
4lcy-assembly1,A,1,180,primary,pdb
6pte-assembly1,A,1,180,primary,pdb
5c08-assembly1,A,1,180,primary,pdb
5e9d-assembly1,A,1,180,primary,pdb
5hhp-assembly1,A,1,180,primary,pdb
2gj6-assembly1,A,1,180,primary,pdb
3mrm-assembly1,A,1,180,primary,pdb
6rsy-assembly1,A,1,180,primary,pdb
6tro-assembly1,A,1,179,primary,pdb
8xes-assembly1,A,1,180,primary,pdb
4pra-assembly1,A,1,180,primary,pdb
8fu4-assembly1,A,1,180,primary,pdb
6bxp-assembly1,A,1,180,primary,pdb
3hpj-assembly1,A,1,180,primary,pdb
2dyp-assembly1,A,1,179,primary,pdb
3o3e-assembly1,A,1,180,primary,pdb
3v5h-assembly1,A,1,180,primary,pdb
5wkh-assembly1,A,1,180,primary,pdb
3sjv-assembly1,A,1,179,primary,pdb
3bxn-assembly1,A,1,180,primary,pdb
6o9c-assembly1,A,2,180,primary,pdb
3bh8-assembly1,A,1,180,primary,pdb
8i5e-assembly1,H,1,180,primary,pdb
3vrj-assembly1,A,1,179,primary,pdb
5wmp-assembly1,A,1,179,primary,pdb
1i1f-assembly1,A,1,180,primary,pdb
6trn-assembly1,A,1,180,primary,pdb
3vfv-assembly1,A,1,180,primary,pdb
8tbv-assembly1,A,1,180,primary,pdb
6ss9-assembly1,A,1,180,primary,pdb
8u9g-assembly1,A,1,180,primary,pdb
5men-assembly1,A,1,180,primary,pdb
5wmn-assembly1,A,1,179,primary,pdb
7wt5-assembly1,A,2,181,primary,pdb
3d39-assembly1,A,1,180,primary,pdb
7l1c-assembly1,A,1,180,primary,pdb
5iro-assembly1,A,1,180,primary,pdb
6v2p-assembly1,A,1,180,primary,pdb
1s9w-assembly1,A,1,180,primary,pdb
5n6b-assembly1,A,1,180,primary,pdb
6vma-assembly1,A,1,180,primary,pdb
7wzz-assembly1,A,1,180,primary,pdb
3ln5-assembly1,A,1,179,primary,pdb
3gsx-assembly1,A,1,180,primary,pdb
8eo8-assembly1,A,1,179,primary,pdb
5v5m-assembly1,A,1,180,primary,pdb
8emg-assembly1,A,1,180,primary,pdb
7rm4-assembly1,A,1,180,primary,pdb
7rrg-assembly1,A,1,180,primary,pdb
2av1-assembly1,A,1,180,primary,pdb
7dzn-assembly1,A,1,179,primary,pdb
4u6y-assembly1,A,1,180,primary,pdb
7srk-assembly1,A,107,286,primary,pdb
5c0b-assembly1,A,1,180,primary,pdb
8erx-assembly1,A,1,180,primary,pdb
8es9-assembly1,N,1,180,primary,pdb
6vb0-assembly1,A,1,180,primary,pdb
8e2z-assembly1,A,1,173,primary,pdb
4u1i-assembly1,A,2,180,primary,pdb
2guo-assembly1,A,1,180,primary,pdb
3l3k-assembly1,A,1,180,primary,pdb
3uts-assembly1,A,1,180,primary,pdb
9bl5-assembly1,A,1,180,primary,pdb
4uq3-assembly1,A,1,180,primary,pdb
5wxc-assembly1,A,1,180,primary,pdb
5t6w-assembly1,A,1,180,primary,pdb
6jtn-assembly1,A,1,179,primary,pdb
1oga-assembly1,A,1,180,primary,pdb
6d2t-assembly1,A,1,180,primary,pdb
6pbh-assembly1,A,1,180,primary,pdb
5ieh-assembly1,A,1,180,primary,pdb
1b0g-assembly1,A,1,180,primary,pdb
7rzj-assembly1,A,1,180,primary,pdb
6mtl-assembly1,A,1,180,primary,pdb
3mr9-assembly1,A,1,180,primary,pdb
1b0r-assembly1,A,1,180,primary,pdb
3gsq-assembly1,A,1,180,primary,pdb
2gtw-assembly1,A,1,180,primary,pdb
3mrc-assembly1,A,1,180,primary,pdb
3hcv-assembly1,A,1,180,primary,pdb
6ewc-assembly1,A,1,180,primary,pdb
1agf-assembly1,A,1,179,primary,pdb
4jrx-assembly1,A,1,180,primary,pdb
8es8-assembly1,N,1,180,primary,pdb
3i6g-assembly1,A,1,180,primary,pdb
4l29-assembly1,A,1,180,primary,pdb
6bj2-assembly1,A,1,180,primary,pdb
7wt3-assembly1,A,2,181,primary,pdb
4i4w-assembly1,A,1,180,primary,pdb
7ndu-assembly1,AAA,1,178,primary,pdb
5eu4-assembly1,A,1,180,primary,pdb
6vb7-assembly1,A,1,180,primary,pdb
3kpo-assembly1,A,1,180,primary,pdb
3pwj-assembly1,A,1,180,primary,pdb
7n6d-assembly1,A,1,180,primary,pdb
4e5x-assembly1,A,1,180,primary,pdb
5c09-assembly1,A,1,180,primary,pdb
1agd-assembly1,A,1,179,primary,pdb
7kgr-assembly1,A,1,180,primary,pdb
1ao7-assembly1,A,1,180,primary,pdb
7sih-assembly1,A,1,180,primary,pdb
3gsr-assembly1,A,1,180,primary,pdb
3h7b-assembly1,A,1,180,primary,pdb
7q98-assembly1,A,1,180,primary,pdb
1tvh-assembly1,A,1,180,primary,pdb
3gsu-assembly1,A,1,180,primary,pdb
3bze-assembly1,A,1,178,primary,pdb
7ejn-assembly1,A,1,180,primary,pdb
8rji-assembly1,A,1,180,primary,pdb
3mrj-assembly1,A,1,180,primary,pdb
2j8u-assembly1,A,1,180,primary,pdb
4ftv-assembly1,A,1,180,primary,pdb
3hae-assembly1,A,1,180,primary,pdb
6uzn-assembly1,A,1,180,primary,pdb
1qr1-assembly1,A,1,180,primary,pdb
6v3j-assembly1,A,1,180,primary,pdb
5nmf-assembly1,A,1,180,primary,pdb
7q9a-assembly1,A,1,180,primary,pdb
7jyw-assembly1,A,1,178,primary,pdb
2av7-assembly1,A,1,180,primary,pdb
6pyv-assembly1,A,1,180,primary,pdb
7n1f-assembly1,A,1,180,primary,pdb
6vm7-assembly1,A,1,180,primary,pdb
8emk-assembly1,A,1,180,primary,pdb
6d2r-assembly1,A,1,180,primary,pdb
7u21-assembly1,A,1,180,primary,pdb
6tdp-assembly1,A,1,180,primary,pdb
5ddh-assembly1,A,1,180,primary,pdb
7m8t-assembly1,A,1,180,primary,pdb
3vfs-assembly1,A,1,180,primary,pdb
3vri-assembly1,A,1,179,primary,pdb
6z9v-assembly1,A,1,180,primary,pdb
4u1l-assembly1,A,2,180,primary,pdb
7nmg-assembly1,A,1,180,primary,pdb
2bck-assembly1,A,1,180,primary,pdb
2rfx-assembly1,A,1,180,primary,pdb
6uj9-assembly1,A,2,180,primary,pdb
8ek5-assembly1,A,1,180,primary,pdb
2bnr-assembly1,A,1,180,primary,pdb
1age-assembly1,A,1,179,primary,pdb
7qpj-assembly1,C,1,180,primary,pdb
5euo-assembly1,A,1,180,primary,pdb
3ft3-assembly1,A,1,180,primary,pdb
3mrh-assembly1,A,1,180,primary,pdb
7q9b-assembly1,AAA,1,180,primary,pdb
5n1y-assembly1,A,2,181,primary,pdb
6ujo-assembly1,A,1,180,primary,pdb
4gks-assembly1,A,1,180,primary,pdb
6vb6-assembly1,A,1,180,primary,pdb
3l3j-assembly1,A,1,180,primary,pdb
7sr5-assembly1,A,110,289,primary,pdb
5eot-assembly1,A,1,179,primary,pdb
7sif-assembly1,A,1,180,primary,pdb
5mep-assembly1,A,1,180,primary,pdb
4qrs-assembly1,A,1,179,primary,pdb
6iex-assembly1,A,1,179,primary,pdb
3kyn-assembly1,A,3,180,primary,pdb
4hwz-assembly1,A,1,180,primary,pdb
7mj8-assembly1,A,1,180,primary,pdb
3bhb-assembly1,A,1,180,primary,pdb
8rnh-assembly1,A,1,180,primary,pdb
6ss7-assembly1,D,1,180,primary,pdb
6p2f-assembly1,A,1,179,primary,pdb
5fa3-assembly1,A,1,179,primary,pdb
3kpp-assembly1,A,1,180,primary,pdb
8udr-assembly1,A,1,180,primary,pdb
4mji-assembly1,A,1,180,primary,pdb
7n2o-assembly1,A,1,180,primary,pdb
1i7u-assembly1,A,1,180,primary,pdb
8sbl-assembly1,A,1,180,primary,pdb
3lko-assembly1,A,1,180,primary,pdb
3rl1-assembly1,A,1,180,primary,pdb
3hg1-assembly1,A,1,180,primary,pdb
4nny-assembly1,A,1,180,primary,pdb
3vxm-assembly1,A,1,180,primary,pdb
1i7r-assembly1,A,1,180,primary,pdb
5c0e-assembly1,A,2,181,primary,pdb
6uzp-assembly1,A,1,180,primary,pdb
5w67-assembly1,A,1,179,primary,pdb
7su9-assembly1,A,1,179,primary,pdb
6vb5-assembly1,A,1,180,primary,pdb
4jry-assembly1,A,1,180,primary,pdb
2hjl-assembly1,A,1,180,primary,pdb
3lkn-assembly1,A,1,180,primary,pdb
2jcc-assembly1,A,1,180,primary,pdb
6ulk-assembly1,A,1,179,primary,pdb
3mrg-assembly1,A,1,180,primary,pdb
7mj6-assembly1,A,1,180,primary,pdb
3mv9-assembly1,A,1,180,primary,pdb
6xqa-assembly1,A,1,180,primary,pdb
8tub-assembly1,F,1,179,primary,pdb
5c0f-assembly1,A,2,181,primary,pdb
3mrp-assembly1,A,1,180,primary,pdb
4u6x-assembly1,A,1,180,primary,pdb
3mro-assembly1,A,1,180,primary,pdb
5wmo-assembly1,A,1,179,primary,pdb
5c0d-assembly1,A,1,180,primary,pdb
3gsv-assembly1,A,1,180,primary,pdb
3utq-assembly1,A,1,180,primary,pdb
1jf1-assembly1,A,1,180,primary,pdb
2bnq-assembly1,A,1,180,primary,pdb
3qfd-assembly1,A,1,180,primary,pdb
3bh9-assembly1,A,1,180,primary,pdb
6vmx-assembly1,A,1,179,primary,pdb
4mj6-assembly1,A,1,180,primary,pdb
6uzo-assembly1,A,1,180,primary,pdb
1n2r-assembly1,A,1,180,primary,pdb
7q99-assembly1,A,1,180,primary,pdb
8emj-assembly1,A,1,180,primary,pdb
5tez-assembly1,A,1,180,primary,pdb
3fqn-assembly1,A,1,180,primary,pdb
7sr0-assembly1,A,110,289,primary,pdb
3vfr-assembly1,A,1,180,primary,pdb
7n2s-assembly1,A,1,180,primary,pdb
2hn7-assembly1,A,1,180,primary,pdb
3oxs-assembly1,A,1,180,primary,pdb
3o3a-assembly1,A,1,180,primary,pdb
6opd-assembly1,A,1,180,primary,pdb
6amu-assembly1,A,1,179,primary,pdb
6ewo-assembly1,A,1,180,primary,pdb
4i48-assembly1,A,1,180,primary,pdb
5ind-assembly1,A,1,180,primary,pdb
3kla-assembly1,A,1,180,primary,pdb
3bwa-assembly1,A,1,180,primary,pdb
6bxq-assembly1,B,1,180,primary,pdb
6o9b-assembly1,A,2,180,primary,pdb
4wj5-assembly1,A,1,180,primary,pdb
7sr3-assembly1,A,114,293,primary,pdb
4qrp-assembly1,A,1,179,primary,pdb
5eu6-assembly1,A,1,180,primary,pdb
5inc-assembly1,A,1,180,primary,pdb
9bl2-assembly1,A,1,180,primary,pdb
7x1c-assembly1,A,1,180,primary,pdb
3mrk-assembly1,A,1,180,primary,pdb
8esh-assembly1,A,1,177,primary,pdb
5vwj-assembly1,A,1,180,primary,pdb
