pdb_id,chain,res_start,res_end,uniprot_id,target_length,mapped_length,uniprot_name,uniprot_length,organism,gene_name,entry_status,belongs_to,possibly_chimeric,grouped_gene_assigned,gene_name_assigned,organism_assigned,comments,resolution
5XOV,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,68"
1T1Z,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,90"
7ZUC,A,1,180,O78126,180,362,MHC class I HLA-A,362,Homo sapiens,MHC class I HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,89"
7SIS,A,1,180,Q861F7,180,341,MHC class I antigen,341,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,90"
5TXS,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,70"
5VWD,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,80"
6Z9W,A,1,180,A0A140T913,180,371,"Major histocompatibility complex, class I, A",371,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,70"
5WWU,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,79"
8YE4,A,1,180,Q6IVJ7,180,299,MHC class I antigen precusor,299,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"3,20"
7NME,A,1,180,A0A5H2UYS3,180,367,MHC class I antigen,367,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,20"
3VXS,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,80"
5VWF,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,80"
6P23,A,1,179,P01889,179,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,60"
4F7P,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,90"
5HHQ,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,10"
7BBG,A,1,180,A0A140T913,180,371,"Major histocompatibility complex, class I, A",371,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,64"
7RTD,A,1,180,Q53Z42,180,365,HLA class I antigen,365,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,05"
2ESV,A,1,179,P13747,179,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,60"
4NO0,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,70"
5HGB,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,40"
7NMD,A,1,180,A0A5H2UYS3,180,367,MHC class I antigen,367,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,25"
7N6E,A,1,180,A0A140T913,180,371,"Major histocompatibility complex, class I, A",371,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"3,20"
1A9E,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"2,50"
7U1R,A,1,180,Q53Z42,180,365,HLA class I antigen,365,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,80"
7JYX,A,1,180,A0A5H2UYS3,180,367,MHC class I antigen,367,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,95"
7P4B,A,1,179,P13747,179,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,72"
1Q94,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,40"
2F54,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,70"
5XOT,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"2,79"
4QOK,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"3,00"
1T21,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,19"
3RL2,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,39"
7TR4,A,1,180,A0A140T9X5,180,371,"Major histocompatibility complex, class I, A",371,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,30"
6MTM,A,1,178,P01889,178,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"3,00"
7MJA,A,1,180,A0A5H2UYS3,180,367,MHC class I antigen,367,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,69"
3GSW,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,81"
1AKJ,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,65"
1QSF,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,80"
5W6A,A,1,179,P10321,179,366,"HLA class I histocompatibility antigen, C alpha chain",366,Homo sapiens,HLA-C,Uniprotkb reviewed (swiss-prot),,,,,,,"1,74"
3FQT,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,80"
4F7M,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,40"
1HHH,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"3,00"
8QFY,AAA,1,179,P13747,179,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,33"
1T1X,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,20"
6W51,A,1,180,A0A140T913,180,371,"Major histocompatibility complex, class I, A",371,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"3,53"
7NDQ,AAA,1,179,P13747,179,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,55"
8EN8,A,1,180,F4NBT2,180,337,MHC class I antigen,337,Homo sapiens,HLA-B,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,70"
7S8S,A,1,180,U5YJK1,180,337,MHC class I antigen,337,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,87"
6J2A,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,40"
5WJL,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"3,15"
7S7E,A,1,179,P01889,179,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"2,04"
6UZ1,A,1,180,A0A140T913,180,371,"Major histocompatibility complex, class I, A",371,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"3,14"
7WJ2,A,1,180,A0A858LG55,180,366,MHC class I antigen,366,Homo sapiens,HLA-C,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,28"
3D3V,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,80"
7F4W,A,6,185,D9UAY1,180,337,MHC class I antigen,337,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,90"
3I6L,D,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,40"
1XR9,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,79"
2XPG,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,60"
6J1V,A,1,180,A0A173ADK6,180,365,MHC class I antigen,365,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,00"
3PWP,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,69"
3KXF,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"3,10"
1I4F,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,40"
8RYO,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,05"
6MT3,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,21"
3V5K,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,31"
6UK2,A,1,180,U5YJP1,180,337,MHC class I antigen,337,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"3,14"
7KGO,A,1,180,Q861F7,180,341,MHC class I antigen,341,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,15"
7RTR,A,1,180,Q53Z42,180,365,HLA class I antigen,365,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,60"
3WLB,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,00"
8RBV,A,2,181,Q53Z42,180,365,HLA class I antigen,365,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,80"
6UJ7,A,1,179,P01889,179,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,90"
6GHN,A,1,179,P13747,179,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,54"
7JYU,A,1,180,A0A5H2UYS3,180,367,MHC class I antigen,367,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,75"
1T1W,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,20"
8XKC,A,1,180,A0A0G2JPD3,180,394,"Major histocompatibility complex, class I, A",394,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,18"
6VM8,A,1,180,A0A140T913,180,371,"Major histocompatibility complex, class I, A",371,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,41"
6ZKZ,A,1,178,P13747,178,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,30"
4QRR,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"3,00"
3VXP,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,50"
5WSH,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,00"
5VZ5,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"2,59"
5WWJ,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,29"
5HHN,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,03"
1S8D,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,20"
7RK7,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,54"
4JFP,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,91"
6ZKY,A,1,178,P13747,178,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,65"
8I5D,H,1,180,U5YJJ6,180,337,MHC class I antigen,337,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"3,30"
1DUY,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,15"
7PBE,A,1,180,A0A140T913,180,371,"Major histocompatibility complex, class I, A",371,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"3,00"
3UTT,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,60"
3H9S,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,70"
4O2F,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"1,90"
1A9B,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"3,20"
6ZKX,A,1,177,P13747,177,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,17"
7EJM,A,1,180,A0A5H2UYS3,180,367,MHC class I antigen,367,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,71"
1YDP,A,1,179,P17693,179,338,"HLA class I histocompatibility antigen, alpha chain G",338,Homo sapiens,HLA-G,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,90"
3V5D,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,00"
3QFJ,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,29"
6ULI,A,1,179,C1K0Y1,179,366,HLA class I antigen,366,Homo sapiens,HLA-Cw,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"1,88"
2NX5,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"2,70"
7LG2,A,1,180,A0A140T913,180,371,"Major histocompatibility complex, class I, A",371,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,40"
6GGM,A,1,179,P13747,179,358,"HLA class I histocompatibility antigen, alpha chain E",358,Homo sapiens,HLA-E,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,73"
1CG9,A,1,180,P01889,180,362,"HLA class I histocompatibility antigen, B alpha chain",362,Homo sapiens,HLA-B,Uniprotkb reviewed (swiss-prot),,,,,,,"2,70"
5ENW,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,85"
7S8Q,A,1,180,U5YJK1,180,337,MHC class I antigen,337,Homo sapiens,HLA-A,Uniprotkb unreviewed (trembl),Belongs to the MHC class I family,,,,,,"2,08"
3WL9,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"1,66"
1S9Y,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,30"
2CLR,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,00"
5IUE,A,1,179,P30511,179,346,"HLA class I histocompatibility antigen, alpha chain F",346,Homo sapiens,HLA-F,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,62"
3MGT,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,20"
5F9J,A,1,180,P04439,180,365,"HLA class I histocompatibility antigen, A alpha chain",365,Homo sapiens,HLA-A,Uniprotkb reviewed (swiss-prot),Belongs to the MHC class I family,,,,,,"2,51"
